Parameter,Type,Min,Max,Default,Description
Delay_Period_Peak_2_Value,float,0,3.40282E+38,-1,"The delay period value to assign to the remaining interventions, in days, when **Delay_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION."
Delay_Period_Poisson_Mean,float,0,3.40282E+38,-1,"The mean of the delay period, in days, when **Delay_Period_Distribution** is set to POISSON_DISTRIBUTION."
Delay_Period_Proportion_0,float,0,1,-1,The proportion of interventions to assign a value of zero delay when **Delay_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Delay_Period_Proportion_1,float,0,1,-1,The proportion of interventions in the first exponential distribution when **Delay_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Expiration_Period,float,0,3.40282e+38,3.40E+38,"A fixed time period, in days, after which the **Broadcast_On_Expiration_Event** occurs instead of the **Broadcast_Event**. Only applied if the **Expiration_Period** occurs earlier than the end of the delay period. For example, if loss to follow-up (LTFU) occurs at a high rate for the first 6 months of care, and then later transitions to a lower rate, then the **Expiration_Period** should be set to 183 days and **Broadcast_On_Expiration_Event** can link to another delay intervention with a longer average delay time until LTFU. If LTFU does not occur in the first 6 months, then the expiration will allow the first rate to give way to the post-6-month rate."
Intervention_Name,string,NA,NA,HIVMuxer,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Max_Entries,integer,0,2147480000.0,1,"The maximum number of times the individual can be registered with the HIVMuxer delay. Determines what should happen if an individual reaches the HIVMuxer stage of health care multiple times. For example, registering for an exponential delay two times effectively doubles the rate of leaving the delay. Setting **Max_Entries** to 1 prevents the rate from doubling."
Muxer_Name,string,NA,NA,NA,"A name used to identify the delay and check whether individuals have entered it multiple times. If the same name is used at multiple points in the health care process, then the number of entries is combined when **Max_Entries** is applied."
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
