1278,1964,267,52.5321,F,4,2,local,STIPreEmigrating,0,84,72,0,0,MARITAL,PAUSED,101,0,4
1278,1964,267,52.5321,F,2,0,N/A,STIPostImmigrating,0,84,72,0,0,MARITAL,NORMAL,101,2,2
1279,1964,238,41.2518,F,1,2,local,STIPreEmigrating,0,91,130,0,0,INFORMAL,PAUSED,263,0,1
1279,1964,238,41.2518,F,2,0,N/A,STIPostImmigrating,0,91,130,0,0,INFORMAL,PAUSED,263,0,2
1280,1964.01,71,41.5481,M,4,2,local,STIPreEmigrating,0,106,35,0,0,MARITAL,PAUSED,255,4,0
1280,1964.01,202,36.6187,M,1,4,local,STIPreEmigrating,0,166,21,0,0,TRANSITORY,PAUSED,58,1,0
1280,1964.01,202,36.6187,M,4,0,N/A,STIPostImmigrating,0,166,21,0,0,TRANSITORY,PAUSED,58,4,0
1280,1964.01,71,41.5481,M,2,0,N/A,STIPostImmigrating,0,106,35,0,0,MARITAL,NORMAL,255,2,2
1281,1964.01,316,32.6281,F,4,3,local,STIPreEmigrating,0,154,47,0,0,MARITAL,PAUSED,20,0,4
1281,1964.01,129,53.1052,F,2,4,local,STIPreEmigrating,0,62,141,0,0,MARITAL,PAUSED,249,0,2
1281,1964.01,129,53.1052,F,4,0,N/A,STIPostImmigrating,0,62,141,0,0,MARITAL,PAUSED,249,0,4
1281,1964.01,316,32.6281,F,3,0,N/A,STIPostImmigrating,0,154,47,0,0,MARITAL,PAUSED,20,0,3
1282,1964.01,164,43.9009,F,2,3,local,STIPreEmigrating,0,44,66,0,0,MARITAL,NORMAL,248,2,2
1282,1964.01,164,43.9009,F,3,0,N/A,STIPostImmigrating,0,44,66,0,0,MARITAL,PAUSED,248,0,3
1283,1964.02,26,39.4271,F,3,1,local,STIPreEmigrating,0,130,64,0,0,MARITAL,PAUSED,187,0,3
1283,1964.02,148,31.3444,M,2,3,local,STIPreEmigrating,0,116,48,0,0,INFORMAL,NORMAL,63,2,2
1283,1964.02,148,31.3444,M,3,0,N/A,STIPostImmigrating,0,116,48,0,0,INFORMAL,PAUSED,63,3,0
1283,1964.02,26,39.4271,F,1,0,N/A,STIPostImmigrating,0,130,64,0,0,MARITAL,PAUSED,187,0,1
1284,1964.02,238,41.2654,F,2,1,local,STIPreEmigrating,0,91,130,0,0,INFORMAL,PAUSED,263,0,2
1284,1964.02,35,30.2736,F,1,2,local,STIPreEmigrating,0,165,9,0,0,INFORMAL,PAUSED,117,0,1
1284,1964.02,35,30.2736,F,2,0,N/A,STIPostImmigrating,0,165,9,0,0,INFORMAL,PAUSED,117,0,2
1284,1964.02,238,41.2654,F,1,0,N/A,STIPostImmigrating,0,91,130,0,0,INFORMAL,PAUSED,263,0,1
1285,1964.02,129,53.1161,F,4,3,local,STIPreEmigrating,0,62,141,0,0,MARITAL,PAUSED,249,0,4
1285,1964.02,119,43.9805,F,4,2,local,STIPreEmigrating,0,68,98,0,0,MARITAL,PAUSED,163,0,4
1285,1964.02,119,43.9805,F,2,0,N/A,STIPostImmigrating,0,68,98,0,0,MARITAL,PAUSED,163,0,2
1285,1964.02,129,53.1161,F,3,0,N/A,STIPostImmigrating,0,62,141,0,0,MARITAL,NORMAL,249,3,3
1286,1964.02,168,38.5155,F,4,3,local,STIPreEmigrating,0,18,86,0,0,MARITAL,PAUSED,160,0,4
1286,1964.02,168,38.5155,F,3,0,N/A,STIPostImmigrating,0,18,86,0,0,MARITAL,NORMAL,160,3,3
1287,1964.03,248,50.4619,M,2,3,local,STIPreEmigrating,0,44,66,0,0,MARITAL,PAUSED,164,2,0
1287,1964.03,248,50.4619,M,3,0,N/A,STIPostImmigrating,0,44,66,0,0,MARITAL,NORMAL,164,3,3
1288,1964.03,277,31.8828,M,4,2,local,STIPreEmigrating,0,160,30,0,0,INFORMAL,NORMAL,237,4,4
1288,1964.03,67,52.7351,F,2,1,local,STIPreEmigrating,0,50,53,0,0,MARITAL,PAUSED,89,0,2
1288,1964.03,294,42.8007,F,1,4,local,STIPreEmigrating,0,129,101,0,0,MARITAL,NORMAL,190,1,1
1288,1964.03,294,42.8007,F,4,0,N/A,STIPostImmigrating,0,129,101,0,0,MARITAL,PAUSED,190,0,4
1288,1964.03,67,52.7351,F,1,0,N/A,STIPostImmigrating,0,50,53,0,0,MARITAL,PAUSED,89,0,1
1288,1964.03,277,31.8828,M,2,0,N/A,STIPostImmigrating,0,160,30,0,0,INFORMAL,PAUSED,237,2,0
1289,1964.03,125,35.7124,F,4,1,local,STIPreEmigrating,0,70,120,0,0,MARITAL,PAUSED,109,0,4
1289,1964.03,125,35.7124,F,1,0,N/A,STIPostImmigrating,0,70,120,0,0,MARITAL,NORMAL,109,1,1
